Run_handle,Run_group,Run_rep,Notes,Years,is_Control,Region,P_snapshot_yrs,P_snapshot_init,P_firesize_mult,P_firefreq_mult,P_climate_yrs,P_quant_conn,P_quant_lbio,P_quant_dbio,P_quant_roads,P_quant_slope,P_quant_agency,P_quant_WUI,P_quant_strikes,P_quant_PET,P_quant_fprob,P_treat_return,P_burn_age,P_burn_PFT,P_burn_intvl,P_burn_redux,P_burn_area,P_burn_tstart,P_thin_age,P_thin_PFT,P_thin_intvl,P_thin_redux,P_thin_area,P_thin_tstart,P_climate_switch,P_cligaus_cen,P_cligaus_std,P_clifun,P_clipath,P_psi,P_sm,P_p_pet.mean,P_strikes.mean,P_fireyrs,P_determ,P_grass_mintemp,P_grass_psi,P_grass_chill,P_grass_frost,P_misc
Troubleshooting,Test,3,Troubleshooting,5,FALSE,Sierra,FALSE,BATCH_2210192252_SpinUp350/Outputs/Snapshots/Run-045_year-250,1,1,"1985, 1994",-9999,>=10%,>=20%,<=3#,<=30#,"1, 2, 4, 3, 5, 6",-9999,-9999,-9999,-9999,5,-9999,-9999,1,0.9,1000,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Troubleshooting,Control,3,Troubleshooting,5,FALSE,Sierra,FALSE,BATCH_2210192252_SpinUp350/Outputs/Snapshots/Run-045_year-250,1,1,"1985, 1994",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
